,Temp (K),Measured T (ns),Measured T + error (ns),Measured T - error (ns),Theory T (ns),Theory T + error (ns),Theory T - error (ns),Source,Type of T
34,5.5,5294463.877,0.0,0.0,1449103.0184681274,426305.15775198606,317566.1024711756,Exp.: Guo et al. (2023),$T_1^Q$
35,6.0,1684378.8930000002,0.0,0.0,528862.2540348223,155583.6291568284,115898.40240309556,Exp.: Guo et al. (2023),$T_1^Q$
36,6.5,671777.0,0.0,0.0,225515.08758479822,66343.27840260783,49420.88071036982,Exp.: Guo et al. (2023),$T_1^Q$
37,7.0,351407.898,0.0,0.0,108659.18232029869,31965.960507917887,23812.298081912435,Exp.: Guo et al. (2023),$T_1^Q$
38,1.700934579,467904.334,0.0,0.0,37607941820465.79,11064783560510.914,8238818972371.473,Exp.: Guo et al. (2023),$T_2^Q$
39,2.5,440533.62,0.0,0.0,4381943096.386709,1289115023.5796041,960331113.155756,Exp.: Guo et al. (2023),$T_2^Q$
40,3.0,427454.656,0.0,0.0,53279871.5962567,15674179.6741409,11676091.16242189,Exp.: Guo et al. (2023),$T_2^Q$
41,3.5,390501.79699999996,0.0,0.0,2286150.091421952,672550.3892822703,501000.7938053331,Exp.: Guo et al. (2023),$T_2^Q$
42,4.0,220258.125,0.0,0.0,234350.85679277751,68940.76785225133,51355.81980150787,Exp.: Guo et al. (2023),$T_2^Q$
43,4.5,38932.665,0.0,0.0,36732.00481989542,10804.15825402485,8048.306135343864,Exp.: Guo et al. (2023),$T_2^Q$
44,5.0,8370.952,0.0,0.0,8358.83684104788,2457.1818044978863,1830.4202007808708,Exp.: Guo et al. (2023),$T_2^Q$
45,5.502336449,2469.848,0.0,0.0,2495.7657519656123,732.349083583827,545.5458006487906,Exp.: Guo et al. (2023),$T_2^Q$
